node_id,lat,lon
5388494833,12.9246913,77.6382135
5389407313,12.9285599,77.6361497
5389407314,12.9281464,77.6359893
5389407315,12.9277095,77.6357739
5389437908,12.929329,77.6351874
5389437909,12.929079,77.6350689
5389437911,12.929196,77.6349014
5389437912,12.9296265,77.6348352
5389437913,12.9292962,77.6346828
5389437914,12.9297466,77.634651
5389437915,12.929418,77.6344884
5389437918,12.9301622,77.6343392
5389437919,12.9296039,77.6340977
5389437920,12.9303348,77.6341688
5389437921,12.9297066,77.6338793
5389437922,12.9304876,77.6340174
5389437923,12.9297946,77.6336868
5389437926,12.9294741,77.634222
5389437927,12.9298044,77.6335345
5389442282,12.9324462,77.6250405
5389442283,12.932009,77.6245652
5389451392,12.9367136,77.6249039
5395545375,12.9369073,77.6278132
5395545376,12.9369575,77.6285805
5431786084,12.9349662,77.6247861
5586382485,12.9359222,77.6282414
5942550426,12.9248811,77.633657
5960671738,12.9270821,77.6223767
5960671739,12.9266575,77.6234079
5960671740,12.9276367,77.6210614
6017833813,12.937249,77.6270053
6017833815,12.9372808,77.6268738
6017833816,12.9373325,77.6269369
6022021528,12.9248662,77.6335624
6065186790,12.9333571,77.6288317
6065186792,12.9338402,77.6293304
6065186795,12.9331351,77.6290487
6065186796,12.933655,77.6295824
6096432316,12.9316786,77.62797
6096432317,12.9308869,77.6278742
6131812595,12.9300264,77.6384362
6131812598,12.9300511,77.6381868
6132065477,12.925456,77.6365642
6137597661,12.9257981,77.6251869
6143995412,12.9270435,77.6397144
6143995415,12.9267137,77.6395562
6144129431,12.931584,77.6244978
6167907607,12.9288342,77.638054
6196901133,12.9431759,77.6188907
6278093122,12.9430725,77.6220697
6311451942,12.9401574,77.6271281
6311451943,12.9400304,77.6264861
6311451944,12.9403548,77.626255
6311451945,12.9405141,77.6267151
6454708692,12.9254301,77.6327427
6454722370,12.9388595,77.6259175
6454722371,12.9391484,77.6269108
6455354941,12.9292256,77.6400556
6455354942,12.9281493,77.638597
6455354943,12.929595,77.6393815
6455354944,12.9298754,77.6388736
6455354946,12.9284238,77.6380769
6456088910,12.9417991,77.6218422
6462712325,12.9250287,77.6270231
6504218262,12.9331876,77.6239843
6504305286,12.9261655,77.6382463
6504305287,12.9262159,77.6379464
6504305288,12.9262879,77.6375739
6528476359,12.939568,77.6259828
6528476360,12.9393368,77.6257146
6528476361,12.9397601,77.626318
6528476362,12.9390317,77.6265287
6528476363,12.9397954,77.6260217
6528476366,12.9400476,77.6257226
6528479943,12.9440815,77.6183898
6528479945,12.9437178,77.6181494
6528479946,12.9434472,77.6180683
6528482681,12.936614,77.6278388
6528482682,12.936584,77.62826
6528482683,12.9369344,77.6282269
6528482684,12.9366467,77.6288715
6528482685,12.9364154,77.6288769
6528482686,12.9337437,77.6252465
6528482687,12.9340535,77.6253565
6528482688,12.933677,77.6249488
6528482689,12.9341724,77.625166
6528482690,12.9337881,77.6245559
6528482691,12.9343476,77.6249106
6528488887,12.9339764,77.6354764
7089555205,12.9443483,77.6194056
7089555206,12.944751,77.6192829
7089555207,12.9443988,77.6191975
7089555208,12.9443216,77.6195354
7089555209,12.9431751,77.620027
7089555210,12.9430547,77.6203049
7089555211,12.9442795,77.6206842
7089555213,12.9437694,77.6207175
7089555216,12.9416784,77.6207433
7089555218,12.9415884,77.6198784
7089555231,12.9424411,77.6174347
7200329607,12.9337136,77.6304346
7263010437,12.936052,77.6281101
