city,num_emergencies,trial,algorithm,objective,time_s,status,convergence_len
bangalore_central,10,1,Standard GA,3.8676709011746224,0.45414018630981445,success,10
bangalore_central,10,1,Elitist GA,4.834588626468277,0.9747052192687988,ok,52
bangalore_central,10,1,Adaptive GA,4.834588626468277,0.9372973442077637,ok,52
bangalore_central,10,1,Hybrid GA,4.834588626468277,4.324670314788818,ok,52
bangalore_central,10,2,Standard GA,3.8676709011746224,0.46022796630859375,success,10
bangalore_central,10,2,Elitist GA,4.834588626468277,0.8263773918151855,ok,52
bangalore_central,10,2,Adaptive GA,4.834588626468277,0.7684907913208008,ok,52
bangalore_central,10,2,Hybrid GA,4.834588626468277,4.111964225769043,ok,52
bangalore_central,10,3,Standard GA,3.8676709011746224,0.4713249206542969,success,10
bangalore_central,10,3,Elitist GA,4.834588626468277,0.8181211948394775,ok,52
bangalore_central,10,3,Adaptive GA,4.834588626468277,1.136420726776123,ok,52
bangalore_central,10,3,Hybrid GA,4.834588626468277,4.898531675338745,ok,52
bangalore_central,15,1,Standard GA,5.801506351761935,0.49330615997314453,success,10
bangalore_central,15,1,Elitist GA,7.251882939702417,1.0600550174713135,ok,52
bangalore_central,15,1,Adaptive GA,7.251882939702417,1.0286061763763428,ok,52
bangalore_central,15,1,Hybrid GA,7.251882939702417,13.826062440872192,ok,52
bangalore_central,15,2,Standard GA,5.801506351761935,0.5109162330627441,success,10
bangalore_central,15,2,Elitist GA,7.251882939702417,0.9952430725097656,ok,52
bangalore_central,15,2,Adaptive GA,7.251882939702417,1.0837745666503906,ok,52
bangalore_central,15,2,Hybrid GA,7.251882939702417,15.154210567474365,ok,52
bangalore_central,15,3,Standard GA,5.801506351761935,0.49266862869262695,success,10
bangalore_central,15,3,Elitist GA,7.251882939702417,1.047234296798706,ok,52
bangalore_central,15,3,Adaptive GA,7.251882939702417,1.1771149635314941,ok,52
bangalore_central,15,3,Hybrid GA,7.251882939702417,13.782771348953247,ok,52
bangalore_central,20,1,Standard GA,7.735341802349248,0.7499971389770508,success,10
bangalore_central,20,1,Elitist GA,9.66917725293656,1.7042229175567627,ok,52
bangalore_central,20,1,Adaptive GA,9.66917725293656,1.2229111194610596,ok,52
bangalore_central,20,1,Hybrid GA,9.66917725293656,17.36866545677185,ok,52
bangalore_central,20,2,Standard GA,7.735341802349248,0.5774059295654297,success,10
bangalore_central,20,2,Elitist GA,9.66917725293656,1.188567876815796,ok,52
bangalore_central,20,2,Adaptive GA,9.66917725293656,1.1757359504699707,ok,52
bangalore_central,20,2,Hybrid GA,9.66917725293656,31.39509129524231,ok,52
bangalore_central,20,3,Standard GA,7.735341802349248,0.6988787651062012,success,10
bangalore_central,20,3,Elitist GA,9.66917725293656,1.2752985954284668,ok,52
bangalore_central,20,3,Adaptive GA,9.66917725293656,1.3764653205871582,ok,52
bangalore_central,20,3,Hybrid GA,9.66917725293656,29.297492742538452,ok,52
